         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask
57805.381619 19.491430      NaN      6    18 c    0   0.97 105.8277 23.02908  2861.62  7950.15 3.99 3.89  55.4 -0.394    19.52 21.50 02a57805o0311c       0
57805.393821 19.631075      NaN      1    17 c    0   0.97 105.8277 23.02908  2881.54  7831.04 3.87 3.74  44.9 -0.407    19.55 21.50 02a57805o0331c       0
57805.416612 19.472870      NaN     13    16 c    0   0.92 105.8277 23.02908  2847.03  7887.51 3.74 3.61  42.9 -0.423    19.56 21.48 02a57805o0372c       0
57809.354661 15.946821      NaN   -600   506 c    0   0.93 105.8277 23.02908  3090.33  5623.32 3.83 3.67  78.6 -0.384    15.89 17.61 02a57809o0258c       2
57809.361766 18.280067      NaN      8    57 c    0   1.03 105.8277 23.02908  3074.35  5584.50 3.79 3.64  71.6 -0.386    17.91 19.67 02a57809o0271c    8192
57809.383317 16.289631      NaN   -626   369 c    0   1.15 105.8277 23.02908  3130.75  5661.30 3.70 3.58  68.1 -0.390    16.25 17.86 02a57809o0310c       2
57809.395073 14.200254      NaN   2996  1530 c    0   0.85 105.8277 23.02908  3150.46  5541.38 3.83 3.79  67.2 -0.383    17.16 18.91 02a57809o0330c       2
57809.405151 18.459772      NaN   -102    50 c    0   1.23 105.8277 23.02908  3115.39  5600.76 3.77 3.69  37.1 -0.386    17.99 19.72 02a57809o0348c    8192
57817.268027 19.169763      NaN    -57    26 c    0   1.05 105.8277 23.02908  6779.73  5343.85 4.13 4.02  77.9 -0.389    18.93 20.46 02a57817o0016c    8192
57817.275938 19.169763      NaN    -35    26 c    0   1.05 105.8277 23.02908  6812.31  5287.03 4.16 3.93  85.3 -0.400    18.95 20.46 02a57817o0031c    8192
57833.303452 19.401649      NaN     14    17 c    0   1.00 105.8277 23.02908  3197.35  4717.26 3.77 3.57  72.7 -0.398    18.92 20.64 02a57833o0150c       0
57833.315512 19.436675      NaN      6    19 c    0   0.94 105.8277 23.02908  3182.00  4677.57 4.17 3.76   5.3 -0.388    18.84 20.63 02a57833o0172c       0
57833.325361 19.696897      NaN      0    16 c    0   1.12 105.8277 23.02908  3236.60  4757.45 3.69 3.54  70.1 -0.407    18.93 20.63 02a57833o0190c       0
57833.346239 19.549093      NaN      6    17 c    0   1.13 105.8277 23.02908  3259.79  4639.85 4.17 3.77   5.4 -0.378    18.80 20.60 02a57833o0229c       0
57833.357873 19.367717      NaN     13    18 c    0   0.87 105.8277 23.02908  3226.20  4693.21 3.73 3.62  56.7 -0.408    18.87 20.57 02a57833o0251c       0
57837.327987 19.401649      NaN    -15    21 c    0   1.05 105.8277 23.02908  2501.36  5838.72 3.88 3.71  72.8 -0.389    18.75 20.39 02a57837o0123c       0
57837.338936 19.334813      NaN      9    20 c    0   1.25 105.8277 23.02908  2520.65  5720.50 3.85 3.68  70.3 -0.392    18.74 20.38 02a57837o0144c       0
57837.347282 19.454622      NaN    -10    20 c    0   1.41 105.8277 23.02908  2485.43  5780.01 3.90 3.75  70.7 -0.389    18.71 20.34 02a57837o0159c       0
57841.291465 19.318728      NaN     13    19 c    0   1.18 105.8277 23.02908  2421.60  7140.33 3.85 3.65  49.5 -0.415    18.82 20.52 02a57841o0120c       0
57841.303529 19.351140      NaN    -21    22 c    0   0.92 105.8277 23.02908  2405.27  7100.91 3.80 3.63  50.4 -0.418    18.81 20.48 02a57841o0143c       0
57841.318186 19.256669      NaN      5    23 c    0   0.86 105.8277 23.02908  2462.26  7175.21 3.78 3.60  51.1 -0.420    18.79 20.46 02a57841o0171c       0
57841.326514 19.351140      NaN    -19    22 c    0   1.03 105.8277 23.02908  2480.47  7061.04 3.93 3.75  60.2 -0.397    18.76 20.46 02a57841o0187c       0
57841.347535 19.401649      NaN    -17    21 c    0   1.32 105.8277 23.02908  2445.09  7118.55 3.87 3.69  57.4 -0.408    18.73 20.38 02a57841o0227c       0
57845.232142 18.131260      NaN     64    47 c    0   0.92 105.8277 23.02908  5249.44  6266.28 4.24 3.99  69.0 -0.480    18.17 19.24 02a57845o0027c       0
57845.237434 18.816441      NaN    -28    36 c    0   1.18 105.8277 23.02908  5232.30  6227.56 5.38 4.35  -1.4 -0.415    18.16 19.62 02a57845o0036c       0
57845.245288 18.558199      NaN     25    38 c    0   0.90 105.8277 23.02908  5286.55  6307.98 4.73 4.18   3.4 -0.482    18.31 19.76 02a57845o0050c       0
57845.254097 18.136622      NaN     78    42 c    0   0.94 105.8277 23.02908  5303.45  6187.61 6.19 4.63  -3.6 -0.402    18.10 19.77 02a57845o0066c       0
57845.263972 18.816441      NaN      0    36 c    0   0.98 105.8277 23.02908  5269.86  6244.52 4.21 3.86  80.8 -0.495    18.41 19.73 02a57845o0084c       0
57865.306863 19.510313      NaN     -6    19 c    0   1.01 105.8277 23.02908  4138.72  5233.74 3.11 2.95  21.6 -0.475    18.86 19.96 02a57865o0095c    8192
57865.321895 17.664614      NaN    -43   104 c    0   0.97 105.8277 23.02908  4105.72  5288.60 3.27 3.14  27.1 -0.477    17.11 18.23 02a57865o0122c       2
58043.645509 19.128787      NaN     11    24 c    0   0.92 105.8277 23.02908  8212.98   323.37 3.13 3.04  84.9 -0.371    19.06 20.39 02a58043o0006c    8192
